X1,offense,offense_conference,offense_score,defense,defense_conference,defense_score,drive_id,id,period,minutes,seconds,down,distance,yard_line,yards_to_goal,play_type,play_text,yards_gained,ppa,yards_gained_raw,simple_play_type,game_pd,id_by_quarter,time
18,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,11,1,9,50,3,3,24,24,Rush,Andrew Marty run for 9 yds to the Illin 15 for a 1ST down,9,0.5308685090591108,9,2,Illinois 1,1.01,Q1 9M 50S
19,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,12,1,9,50,2,7,28,28,Rush,Drake Anderson run for 4 yds to the Illin 24,4,-0.0663594732483315,4,2,Illinois 1,1.0110000000000001,Q1 9M 50S
20,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,13,1,9,50,1,10,31,31,Rush,Andrew Marty run for 3 yds to the Illin 28,3,-0.1807619553029143,3,2,Illinois 1,1.012,Q1 9M 50S
21,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,14,1,9,50,3,5,36,36,Rush,Andrew Marty run for 5 yds to the Illin 31 for a 1ST down,5,NA,5,2,Illinois 1,1.0130000000000001,Q1 9M 50S
22,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,15,1,9,50,2,9,40,40,Rush,Coco Azema run for 4 yds to the Illin 36,4,-0.1374658107774033,4,2,Illinois 1,1.014,Q1 9M 50S
23,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,16,1,9,50,1,10,41,41,Rush,Drake Anderson run for 1 yd to the Illin 40,1,-0.6717839246394793,1,2,Illinois 1,1.0150000000000001,Q1 9M 50S
24,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,17,1,9,50,3,3,53,53,Rush,Drake Anderson run for 12 yds to the Illin 41 for a 1ST down,12,2.1100753775947414,12,2,Illinois 1,1.016,Q1 9M 50S
25,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,18,1,9,50,2,8,58,58,Rush,Drake Anderson run for 5 yds to the Nwest 47,5,0.0862897758910038,5,2,Illinois 1,1.0170000000000001,Q1 9M 50S
26,Northwestern,Big Ten,0,Illinois,Big Ten,0,4011121563,19,1,9,50,1,10,60,60,Rush,Drake Anderson run for 2 yds to the Nwest 42,2,-0.6799841752385892,2,2,Illinois 1,1.018,Q1 9M 50S
32,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,20,1,1,32,1,10,45,45,Rush,Andrew Marty run for no gain to the Illin 45,0.5,-0.997770018980635,0,2,Illinois 1,1.0190000000000001,Q1 1M 32S
35,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,21,1,1,32,3,12,47,47,Rush,Andrew Marty run for 8 yds to the Illin 39,8,0.6772848786787762,8,2,Illinois 1,1.02,Q1 1M 32S
36,Northwestern,Big Ten,3,Illinois,Big Ten,0,4011121565,22,1,1,32,2,10,45,45,Rush,Drake Anderson run for a loss of 2 yards to the Illin 47,-2,-1.4673847440524292,-2,2,Illinois 1,1.0210000000000001,Q1 1M 32S
41,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,23,2,13,44,2,6,54,54,Rush,Drake Anderson run for 2 yds to the Nwest 48,2,-0.6811065083081614,2,2,Illinois 2,2,Q2 13M 44S
44,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,24,2,13,44,4,2,14,14,Rush,Andrew Marty run for 2 yds to the Illin 12 for a 1ST down,2,NA,2,2,Illinois 2,2.001,Q2 13M 44S
45,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,25,2,13,44,3,6,18,18,Rush,Raymond Niro III run for 4 yds to the Illin 14,4,-0.0622269592833824,4,2,Illinois 2,2.0020000000000002,Q2 13M 44S
46,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,26,2,13,44,2,7,19,19,Rush,Jace James run for 1 yd to the Illin 18,1,-0.3320953105044356,1,2,Illinois 2,2.003,Q2 13M 44S
47,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,27,2,13,44,1,10,22,22,Rush,Drake Anderson run for 3 yds to the Illin 19,3,-0.126302256434185,3,2,Illinois 2,2.004,Q2 13M 44S
48,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,28,2,13,44,3,1,25,25,Rush,Andrew Marty run for 3 yds to the Illin 22 for a 1ST down,3,0.270295510073167,3,2,Illinois 2,2.005,Q2 13M 44S
49,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,29,2,13,44,2,7,31,31,Rush,Drake Anderson run for 6 yds to the Illin 25,6,0.2254879520404353,6,2,Illinois 2,2.0060000000000002,Q2 13M 44S
50,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,30,2,13,44,1,10,75,75,Rush,Andrew Marty run for 7 yds to the Nwest 32,7,0.604642460086338,7,2,Illinois 2,2.007,Q2 13M 44S
51,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,31,2,13,44,1,10,34,34,Rush,Coco Azema run for 3 yds to the Illin 31,3,-0.2066800678483923,3,2,Illinois 2,2.008,Q2 13M 44S
52,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,32,2,13,44,2,6,40,40,Rush,Coco Azema run for 6 yds to the Illin 34 for a 1ST down,6,NA,6,2,Illinois 2,2.009,Q2 13M 44S
53,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,33,2,13,44,1,10,44,44,Rush,Andrew Marty run for 4 yds to the Illin 40,4,-0.1108700500197327,4,2,Illinois 2,2.0100000000000002,Q2 13M 44S
54,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,34,2,13,44,2,3,68,68,Rush,Drake Anderson run for 10 yds to the Nwest 42 for a 1ST down,10,0.911409447595668,10,2,Illinois 2,2.011,Q2 13M 44S
55,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,35,2,13,44,3,4,52,52,Pass Reception,Andrew Marty pass complete to Ramaud Chiaokhiao-Bowman for 8 yds to the Illin 44 for a 1ST down,8,1.9964537907387108,8,1,Illinois 2,2.012,Q2 13M 44S
56,Northwestern,Big Ten,3,Illinois,Big Ten,7,4011121567,36,2,13,44,1,10,58,58,Rush,Andrew Marty run for 4 yds to the Nwest 46,4,-0.1665264279012551,4,2,Illinois 2,2.013,Q2 13M 44S
43,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121567,37,2,5,20,1,10,12,12,Rushing Touchdown,Andrew Marty run for 12 yds for a TD (Charlie Kuhbander KICK),12,2.5300945420359255,12,2,Illinois 2,2.0140000000000002,Q2 5M 20S
62,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,38,2,4,34,3,10,57,57,Rush,Raymond Niro III run for 8 yds to the Illin 49,8,0.5591651050018474,8,2,Illinois 2,2.015,Q2 4M 34S
68,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,39,2,4,34,2,15,45,45,Rush,Andrew Marty run for 7 yds to the Illin 38,7,0.50240869267299,7,2,Illinois 2,2.016,Q2 4M 34S
69,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,40,2,4,34,2,11,58,58,Rush,Drake Anderson run for 1 yd to the Nwest 43,1,-0.6391754066432807,1,2,Illinois 2,2.017,Q2 4M 34S
70,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,41,2,4,34,4,2,49,49,Rush,Andrew Marty run for 9 yds to the Illin 40 for a 1ST down,9,2.7257777403544363,9,2,Illinois 2,2.0180000000000002,Q2 4M 34S
71,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,42,2,4,34,1,10,57,57,Rush,Andrew Marty run for a loss of 1 yard to the Nwest 42,-1,-1.3694998851390174,-1,2,Illinois 2,2.019,Q2 4M 34S
72,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,43,2,4,34,1,15,45,45,Pass Incompletion,"Andrew Marty pass incomplete to Malik Washington, broken up by Delano Ware",0.5,-1.0198033924746657,0,1,Illinois 2,2.02,Q2 4M 34S
65,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,44,2,0,57,3,8,38,38,Rush,Drake Anderson run for 3 yds to the Illin 35,3,-0.389190902142353,3,2,Illinois 2,2.021,Q2 0M 57S
67,Northwestern,Big Ten,10,Illinois,Big Ten,7,4011121569,45,2,0,23,4,5,35,35,Pass Incompletion,Andrew Marty pass incomplete to Jace James,0.5,-1.996562289628013,0,1,Illinois 2,2.0220000000000002,Q2 0M 23S
107,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,1,1,6,40,1,10,65,65,Rush,Drake Anderson run for a loss of 1 yard to the Nwest 34,-1,-1.1754014811374063,-1,2,Indiana 1,0.9999999999999999,Q1 6M 40S
97,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,2,1,6,40,2,7,40,40,Rush,Jesse Brown run for 1 yd to the Ind 39,1,-0.7884099748184584,1,2,Indiana 1,1.0010000000000001,Q1 6M 40S
99,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,3,1,6,40,2,7,11,11,Rush,Jesse Brown run for 5 yds to the Ind 6,5,0.062277956997449,5,2,Indiana 1,1.002,Q1 6M 40S
100,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,4,1,6,40,1,10,43,43,Pass Reception,Aidan Smith pass complete to Kyric McGowan for 3 yds to the Ind 40,3,-0.3057652594509188,3,1,Indiana 1,1.0030000000000001,Q1 6M 40S
101,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,5,1,6,40,1,10,14,14,Rush,Aidan Smith run for 3 yds to the Ind 11,3,-0.1007251569352445,3,2,Indiana 1,1.004,Q1 6M 40S
103,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,6,1,6,40,2,18,35,35,Pass Reception,Aidan Smith pass complete to Ramaud Chiaokhiao-Bowman for 21 yds to the Ind 14 for a 1ST down,21,1.963345990098528,21,1,Indiana 1,1.0050000000000001,Q1 6M 40S
104,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,7,1,6,40,4,2,35,35,Rush,Kyric McGowan run for 8 yds to the Ind 27 for a 1ST down,8,1.865476419501123,8,2,Indiana 1,1.006,Q1 6M 40S
105,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,8,1,6,40,2,11,66,66,Pass Reception,Aidan Smith pass complete to Jace James for 11 yds to the Nwest 45 for a 1ST down,11,NA,11,1,Indiana 1,1.0070000000000001,Q1 6M 40S
108,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,9,1,6,40,1,10,55,55,Rush,Drake Anderson run for 5 yds to the 50 yard line,5,0.1079044232439195,5,2,Indiana 1,1.008,Q1 6M 40S
109,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,10,1,6,40,2,5,50,50,Rush,Kyric McGowan run for 1 yd to the Ind 49,1,-0.9540715072765594,1,2,Indiana 1,1.0090000000000001,Q1 6M 40S
110,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,11,1,6,40,3,4,49,49,Rush,Aidan Smith run for 6 yds to the Ind 43 for a 1ST down,6,1.7704102334181506,6,2,Indiana 1,1.01,Q1 6M 40S
112,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,12,1,6,40,1,20,37,37,Rush,Drake Anderson run for 2 yds to the Ind 35,2,-0.5217115523597151,2,2,Indiana 1,1.0110000000000001,Q1 6M 40S
113,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,13,1,6,40,3,6,39,39,Rush,Aidan Smith run for 4 yds to the Ind 35,4,-0.1602119386923776,4,2,Indiana 1,1.012,Q1 6M 40S
106,Northwestern,Big Ten,0,Indiana,Big Ten,10,4011121654,14,2,15,0,3,2,6,6,Rush,Aidan Smith run for a loss of 1 yard to the Ind 7,-1,-0.4202073805623477,-1,2,Indiana 2,2,Q2 15M 0S
131,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,15,2,11,10,2,9,51,51,Rush,Jesse Brown run for 1 yd to the 50 yard line,1,-0.8453333998734678,1,2,Indiana 2,2.001,Q2 11M 10S
133,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,16,2,11,10,3,11,65,65,Pass Reception,Hunter Johnson pass complete to Riley Lees for 13 yds to the Nwest 48 for a 1ST down,13,2.9005368336015716,13,1,Indiana 2,2.0020000000000002,Q2 11M 10S
134,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,17,2,11,10,1,10,52,52,Rush,Jesse Brown run for 1 yd to the Nwest 49,1,-0.9023678946876946,1,2,Indiana 2,2.003,Q2 11M 10S
135,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,18,2,11,10,2,5,70,70,Pass Reception,Hunter Johnson pass complete to Riley Lees for 6 yds to the Nwest 36 for a 1ST down,6,0.8360173954125062,6,1,Indiana 2,2.004,Q2 11M 10S
136,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,19,2,11,10,2,19,73,73,Pass Reception,Hunter Johnson pass complete to Riley Lees for 8 yds to the Nwest 35,8,0.21174649913629207,8,1,Indiana 2,2.005,Q2 11M 10S
137,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,20,2,11,10,1,10,75,75,Pass Reception,Hunter Johnson pass complete to Kyric McGowan for 5 yds to the Nwest 30,5,0.0945451165334843,5,1,Indiana 2,2.0060000000000002,Q2 11M 10S
138,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,21,2,11,10,1,20,74,74,Rush,Jesse Brown run for 1 yd to the Nwest 27,1,-0.24870521414371716,1,2,Indiana 2,2.007,Q2 11M 10S
140,Northwestern,Big Ten,3,Indiana,Big Ten,17,4011121658,22,2,11,10,3,8,50,50,Pass Incompletion,Hunter Johnson pass incomplete,0.5,-0.7948843546832176,0,1,Indiana 2,2.008,Q2 11M 10S
155,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121972,1,1,14,3,1,10,19,81,Rush,Isaiah Bowser run for 5 yds to the Nwest 24,5,0.0837442926407759,5,2,Iowa 1,0.9999999999999999,Q1 14M 3S
156,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121972,2,1,14,3,2,5,24,76,Pass Incompletion,"Aidan Smith pass incomplete to Kyric McGowan, broken up by Michael Ojemudia",0.5,-0.5797787650697774,0,1,Iowa 1,1.0010000000000001,Q1 14M 3S
162,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,3,1,11,59,3,11,43,57,Rush,Aidan Smith run for 9 yds to the Iowa 48,9,0.7187707458728942,9,2,Iowa 1,1.002,Q1 11M 59S
163,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,4,1,11,59,2,10,44,56,Rush,Isaiah Bowser run for a loss of 1 yard to the Nwest 43,-1,-1.0193673708452637,-1,2,Iowa 1,1.0030000000000001,Q1 11M 59S
164,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,5,1,11,59,1,10,44,56,Pass Incompletion,Aidan Smith pass incomplete to JJ Jefferson,0.5,-1.1612466882658818,0,1,Iowa 1,1.004,Q1 11M 59S
165,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,6,1,11,59,4,2,52,48,Rush,John Moten IV run for a loss of 2 yards to the 50 yard line,-2,-1.1679739053824427,-2,2,Iowa 1,1.0050000000000001,Q1 11M 59S
166,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,7,1,11,59,2,10,28,72,Rush,Kyric McGowan run for 2 yds to the Nwest 30,2,-0.27038846711114406,2,2,Iowa 1,1.006,Q1 11M 59S
167,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,8,1,11,59,1,10,28,72,Pass Incompletion,Aidan Smith pass incomplete to Kyric McGowan,0.5,-0.7982008475508557,0,1,Iowa 1,1.0070000000000001,Q1 11M 59S
168,Northwestern,Big Ten,0,Iowa,Big Ten,0,4011121974,9,1,11,59,3,8,30,70,Pass Reception,Aidan Smith pass complete to JJ Jefferson for 14 yds to the Nwest 44 for a 1ST down,14,2.554039245548746,14,1,Iowa 1,1.008,Q1 11M 59S
173,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,10,1,8,38,1,10,25,75,Rush,Isaiah Bowser run for 6 yds to the Nwest 31,6,0.3333748010525683,6,2,Iowa 1,1.0090000000000001,Q1 8M 38S
174,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,11,1,8,38,3,9,41,59,Sack,Aidan Smith sacked by Joe Evans and A.J. Epenesa for a loss of 2 yards to the Nwest 39,-2,-0.596213728427962,-2,1,Iowa 1,1.01,Q1 8M 38S
175,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,12,1,8,38,1,10,40,60,Rush,Isaiah Bowser run for no gain to the Nwest 40,0.5,-1.1247712359915258,0,2,Iowa 1,1.0110000000000001,Q1 8M 38S
176,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,13,1,8,38,2,10,40,60,Rush,Kyric McGowan run for 1 yd to the Nwest 41,1,-0.6294708353139953,1,2,Iowa 1,1.012,Q1 8M 38S
178,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,14,1,8,38,2,4,31,69,Pass Incompletion,Aidan Smith pass incomplete to Kyric McGowan,0.5,-0.8681070846083454,0,1,Iowa 1,1.0130000000000001,Q1 8M 38S
179,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121976,15,1,8,38,3,4,31,69,Pass Reception,Aidan Smith pass complete to JJ Jefferson for 9 yds to the Nwest 40 for a 1ST down,9,1.8555867991334232,9,1,Iowa 1,1.014,Q1 8M 38S
184,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121978,16,1,5,1,3,7,37,63,Pass Incompletion,Aidan Smith pass incomplete to Ramaud Chiaokhiao-Bowman,0.5,-0.45087147645664505,0,1,Iowa 1,1.0150000000000001,Q1 5M 1S
185,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121978,17,1,5,1,1,10,34,66,Rush,Isaiah Bowser run for 3 yds to the Nwest 37,3,-0.3978048422172354,3,2,Iowa 1,1.016,Q1 5M 1S
186,Northwestern,Big Ten,0,Iowa,Big Ten,7,4011121978,18,1,5,1,2,7,37,63,Rush,Aidan Smith run for no gain to the Nwest 37,0.5,-0.8359160533289813,0,2,Iowa 1,1.0170000000000001,Q1 5M 1S
218,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122152,1,1,11,9,1,10,35,65,Sack,Hunter Johnson sacked by Joe Bachie for a loss of 9 yards to the Nwest 26,-9,-1.8980006284073268,-9,1,Michigan State 1,0.9999999999999999,Q1 11M 9S
220,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122152,2,1,10,44,2,19,26,74,Rush,Isaiah Bowser run for 5 yds to the Nwest 31,5,0.01301127176831063,5,2,Michigan State 1,1.0010000000000001,Q1 10M 44S
219,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122152,3,1,10,11,3,14,31,69,Pass Reception,Hunter Johnson pass complete to Isaiah Bowser for 4 yds to the Nwest 35,4,-0.03252962690330907,4,1,Michigan State 1,1.002,Q1 10M 11S
224,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,4,1,9,16,1,10,73,27,Rush,Drake Anderson run for 1 yd to the MchSt 26,1,-0.3748730062798895,1,2,Michigan State 1,1.0030000000000001,Q1 9M 16S
223,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,5,1,8,50,1,10,77,23,Rush,Isaiah Bowser run for 4 yds to the MchSt 19,4,-0.0314047953383095,4,2,Michigan State 1,1.004,Q1 8M 50S
221,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,6,1,8,30,2,6,81,19,Rush,Hunter Johnson run for 2 yds to the MchSt 17,2,-0.240384292895571,2,2,Michigan State 1,1.0050000000000001,Q1 8M 30S
228,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,7,1,7,55,3,4,83,17,Rush,Hunter Johnson run for 10 yds to the MchSt 7 for a 1ST down,10,0.739012135977898,10,2,Michigan State 1,1.006,Q1 7M 55S
227,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,8,1,7,20,1,7,93,7,Rush,Isaiah Bowser run for 6 yds to the MchSt 1,6,0.296402392854205,6,2,Michigan State 1,1.0070000000000001,Q1 7M 20S
229,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,9,1,6,49,2,1,99,1,Rush,Isaiah Bowser run for no gain to the MchSt 1,0.5,-0.553645991706544,0,2,Michigan State 1,1.008,Q1 6M 49S
222,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,10,1,6,30,3,1,99,1,Rush,Isaiah Bowser run for no gain to the MchSt 1,0.5,-0.331755745676551,0,2,Michigan State 1,1.0090000000000001,Q1 6M 30S
225,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122153,11,1,5,59,4,1,99,1,Rush,Hunter Johnson run for a loss of 2 yards to the MchSt 3,-2,-4.214246025143899,-2,2,Michigan State 1,1.01,Q1 5M 59S
238,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,12,1,2,22,1,10,36,64,Rush,Drake Anderson run for 1 yd to the Nwest 37,1,-0.8530905486726476,1,2,Michigan State 1,1.0110000000000001,Q1 2M 22S
249,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,13,1,2,16,2,9,37,63,Pass Incompletion,Hunter Johnson pass incomplete,0.5,-0.7156844087137806,0,1,Michigan State 1,1.012,Q1 2M 16S
250,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,14,1,2,2,3,9,37,63,Pass Reception,Hunter Johnson pass complete to Ramaud Chiaokhiao-Bowman for 18 yds to the MchSt 45 for a 1ST down,18,3.2394534800946913,18,1,Michigan State 1,1.0130000000000001,Q1 2M 2S
248,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,15,1,1,30,1,10,55,45,Pass Reception,Hunter Johnson pass complete to Drake Anderson for 2 yds to the MchSt 43,2,-0.548127712470997,2,1,Michigan State 1,1.014,Q1 1M 30S
247,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,16,1,1,8,2,8,57,43,Pass Reception,Hunter Johnson pass complete to Bennett Skowronek for 5 yds to the MchSt 38,5,0.0820437237924898,5,1,Michigan State 1,1.0150000000000001,Q1 1M 8S
246,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,17,1,0,45,3,3,62,38,Pass Reception,Hunter Johnson pass complete to Kyric McGowan for 7 yds to the MchSt 31 for a 1ST down,7,1.1006519036726272,7,1,Michigan State 1,1.016,Q1 0M 45S
239,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,18,1,0,37,1,10,69,31,Pass Incompletion,Hunter Johnson pass incomplete,0.5,-0.5824837756999947,0,1,Michigan State 1,1.0170000000000001,Q1 0M 37S
245,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,19,1,0,15,2,10,69,31,Rush,Isaiah Bowser run for a loss of 2 yards to the MchSt 33,-2,-1.203375745040022,-2,2,Michigan State 1,1.018,Q1 0M 15S
241,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,20,1,0,1,1,10,82,18,Pass Reception,Hunter Johnson pass complete to Riley Lees for a loss of 3 yards to the MchSt 21,-3,-0.603122363035689,-3,1,Michigan State 1,1.0190000000000001,Q1 0M 1S
242,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,21,2,14,45,2,13,79,21,Rush,Isaiah Bowser run for no gain to the MchSt 21,0.5,-0.5574602478683204,0,2,Michigan State 2,2,Q2 14M 45S
240,Northwestern,Big Ten,0,Michigan State,Big Ten,7,4011122155,22,2,14,18,3,13,79,21,Pass Incompletion,Hunter Johnson pass incomplete,0.5,-0.8503497902625748,0,1,Michigan State 2,2.001,Q2 14M 18S
261,Northwestern,Big Ten,3,Michigan State,Big Ten,7,4011122157,23,2,11,30,1,15,15,85,Rush,Drake Anderson run for 2 yds to the Nwest 17,2,-0.15990815885355492,2,2,Michigan State 2,2.0020000000000002,Q2 11M 30S
258,Northwestern,Big Ten,3,Michigan State,Big Ten,7,4011122157,24,2,10,56,2,13,17,83,Rush,Drake Anderson run for a loss of 1 yard to the Nwest 16,-1,-0.17363976363141467,-1,2,Michigan State 2,2.003,Q2 10M 56S
257,Northwestern,Big Ten,3,Michigan State,Big Ten,7,4011122157,25,2,10,15,3,14,16,84,Pass Reception,Hunter Johnson pass complete to Isaiah Bowser for 3 yds to the Nwest 19,3,-0.0252169426352857,3,1,Michigan State 2,2.004,Q2 10M 15S
269,Northwestern,Big Ten,3,Michigan State,Big Ten,7,4011122159,26,2,7,37,1,10,16,84,Rush,Isaiah Bowser run for 21 yds to the Nwest 37 for a 1ST down,21,1.5288585336259244,21,2,Michigan State 2,2.005,Q2 7M 37S
268,Northwestern,Big Ten,3,Michigan State,Big Ten,7,4011122159,27,2,7,10,1,10,37,63,Rush,Isaiah Bowser run for no gain to the Nwest 37,0.5,-1.065701080215459,0,2,Michigan State 2,2.0060000000000002,Q2 7M 10S
